Year,Month_Num,Month_Name,Rank,Country,By_Air,By_Sea,Total,Prior_Year_Same_Month,,
2024,11,November,4,Germany,11993,600,12593,12331,,
2024,11,November,5,China,8364,0,8371,7226,,
2024,11,November,6,Australia,7465,472,7937,7900,,
2024,11,November,7,France,6631,34,6665,3882,,
2024,11,November,8,Poland,5148,16,5164,3343,,
2024,11,November,9,United States,4060,412,4472,4299,,
2024,11,November,10,Spain,3646,0,3655,2673,,
2024,12,December,1,India,52835,46,52881,43973,,
2024,12,December,2,Russia,35173,95,35268,29657,,
2024,12,December,3,United Kingdom,17865,892,18757,19265,,
2024,12,December,4,Germany,12868,1835,14703,13747,,
2024,12,December,5,Australia,12678,431,13109,10847,,
2024,12,December,6,China,9917,7,9924,8648,,
2024,12,December,7,United States,7516,696,8212,8044,,
2024,12,December,8,Maldives,6903,0,6903,5968,,
2024,12,December,9,France,6312,20,6332,5509,,
2024,12,December,10,Poland,6210,23,6233,3217,,
2025,1,January,1,India,43375,0,43375,34399,,
2025,1,January,2,Russia,34094,2,34096,31159,,
2025,1,January,3,United Kingdom,21606,124,21730,16665,,
2025,1,January,4,China,16700,9,16709,11511,,
2025,1,January,5,Germany,14972,78,15050,13593,,
2025,1,January,6,France,12616,3,12619,9919,,
2025,1,January,7,Australia,9465,98,9563,6645,,
2025,1,January,8,Poland,7582,3,7585,7800,,
2025,1,January,9,United States,6423,644,7067,5712,,
2025,1,January,10,Netherlands,6443,41,6484,4531,,
2025,2,February,1,India,35481,247,35728,30027,,
2025,2,February,2,Russia,30258,37,30295,32030,,
2025,2,February,3,United Kingdom,23077,2451,25528,20614,,
2025,2,February,4,Germany,17128,105,17233,16259,,
2025,2,February,5,France,15455,14,15469,12503,,
2025,2,February,6,China,11678,12,11690,14836,,
2025,2,February,7,Australia,8355,423,8778,6265,,
2025,2,February,8,Poland,8519,0,8519,6909,,
2025,2,February,9,United States,5566,873,6439,5709,,
2025,2,February,10,Netherlands,5561,28,5589,4011,,
2025,3,March,1,India,38459,753,39212,31853,,
2025,3,March,2,Russia,29176,0,29177,28016,,
2025,3,March,3,United Kingdom,22306,141,22447,21540,,
2025,3,March,4,Germany,17883,35,17918,18324,,
2025,3,March,5,France,15262,16,15278,10960,,
2025,3,March,6,China,11096,18,11114,12865,,
2025,3,March,7,Australia,8650,362,9012,8852,,
2025,3,March,8,United States,5492,2184,7676,7617,,
2025,3,March,9,Poland,5658,3,5661,4789,,
2025,3,March,10,Netherlands,4807,31,4838,3707,,
2025,4,April,1,India,38204,540,38744,27304,,
2025,4,April,2,United Kingdom,17293,55,17348,13173,,
2025,4,April,3,Russia,13525,0,13525,15103,,
2025,4,April,4,Germany,11632,22,11654,9843,,
2025,4,April,5,Australia,10656,88,10744,7202,,
2025,4,April,6,China,8666,1,8667,8518,,
2025,4,April,7,France,8255,21,8276,8792,,
2025,4,April,8,Bangladesh,5428,0,5428,2354,,
2025,4,April,9,Netherlands,4452,24,4476,3437,,
2025,4,April,10,United States,3863,339,4202,5574,,
2025,5,May,1,India,46272,729,47001,32254,,
2025,5,May,2,United Kingdom,9160,61,9221,8094,,
2025,5,May,3,China,8803,0,8803,7511,,
2025,5,May,4,Bangladesh,7282,0,7282,2878,,
2025,5,May,5,Germany,5343,1880,7223,7495,,
2025,5,May,6,Australia,5896,33,5929,5465,,
2025,5,May,7,France,5465,0,5470,4064,,
2025,5,May,8,United States,3234,373,3607,4082,,
2025,5,May,9,Canada,3344,68,3412,3294,,
2025,5,May,10,Russia,3322,0,3328,4384,,
2025,6,June,1,India,37293,641,37934,28631,,
2025,6,June,2,United Kingdom,11622,6,11628,9266,,
2025,6,June,3,China,8804,0,8804,9222,,
2025,6,June,4,Australia,7297,2,7299,6317,,
2025,6,June,5,Pakistan,6833,0,6833,1399,,
2025,6,June,6,Bangladesh,5826,0,5826,4374,,
2025,6,June,7,Germany,5493,5,5498,4556,,
2025,6,June,8,United States,5413,9,5422,4023,,
2025,6,June,9,France,4339,6,4345,3102,,
2025,6,June,10,Canada,4235,4,4239,3263,,
2025,7,July,1,India,36774,354,37128,41173,,
2025,7,July,2,United Kingdom,23470,5,23475,20837,,
2025,7,July,3,Netherlands,15555,1,15556,11431,,
2025,7,July,4,China,12982,0,12982,13685,,
2025,7,July,5,France,11042,17,11059,9405,,
2025,7,July,6,Germany,10563,5,10568,10618,,
2025,7,July,7,Australia,9116,1,9117,7371,,
2025,7,July,8,Spain,5912,0,5912,4224,,
2025,7,July,9,Canada,5455,7,5462,4821,,
2025,7,July,10,United States,5217,5,5222,4962,,
2025,8,August,1,India,43738,2735,46473,33031,,
2025,8,August,2,United Kingdom,19723,41,19764,17587,,
2025,8,August,3,Germany,12500,0,12500,10623,,
2025,8,August,4,China,12294,0,12294,12088,,
2025,8,August,5,Italy,12245,2,12247,9586,,
2025,8,August,6,France,10479,16,10495,8596,,
2025,8,August,7,Spain,8843,0,8843,7262,,
2025,8,August,8,Australia,7832,1,7833,6687,,
2025,8,August,9,Netherlands,6080,2,6082,5355,,
2025,8,August,10,Japan,5126,1,5127,4102,,
2025,9,September,1,India,49593,104,49697,27884,,
2025,9,September,2,United Kingdom,10752,0,10752,8688,,
2025,9,September,3,China,10527,0,10527,9685,,
2025,9,September,4,Germany,9344,0,9344,8260,,
2025,9,September,5,Australia,9105,0,9105,7200,,
2025,9,September,6,France,5143,1,5144,3749,,
2025,9,September,7,Bangladesh,4953,0,4953,4178,,
2025,9,September,8,Spain,4841,0,4841,4166,,
2025,9,September,9,Netherlands,4433,0,4433,3725,,
2025,9,September,10,Japan,4137,0,4137,3526,,
2025,10,October,1,India,48113,0,48113,36417,,
2025,10,October,2,United Kingdom,12934,0,12934,10206,,
2025,10,October,3,Russia,11496,0,11496,10367,,
2025,10,October,4,China,10864,0,10864,8307,,
2025,10,October,5,Germany,9753,0,9753,9217,,
2025,10,October,6,Australia,7903,0,7903,6523,,
2025,10,October,7,Bangladesh,5521,0,5521,3732,,
2025,10,October,8,France,5157,0,5157,4688,,
2025,10,October,9,United States,3991,0,3991,3170,,
2025,10,October,10,Spain,3692,0,3692,3458,,
2025,11,November,1,India,51349,42,51391,41120,,
2025,11,November,2,Russia,24921,32,24953,29053,,
2025,11,November,3,United Kingdom,15064,1851,16915,12912,,
2025,11,November,4,Germany,14442,76,14518,12593,,
2025,11,November,5,Australia,8871,513,9384,7937,,
2025,11,November,6,China,9203,14,9217,8371,,
2025,11,November,7,France,8447,12,8459,6665,,
2025,11,November,8,Poland,5326,0,5326,5164,,
2025,11,November,9,United States,4616,668,5284,4472,,
2025,11,November,10,Spain,4621,45,4666,3655,,
2025,12,December,1,India,56712,3,56715,52881,,
2025,12,December,2,Russia,27956,31,27987,35268,,
2025,12,December,3,United Kingdom,20114,421,20535,18757,,
2025,12,December,4,Germany,14588,2119,16707,14703,,
2025,12,December,5,Australia,14478,342,14820,13109,,
2025,12,December,6,China,10339,25,10364,9924,,
2025,12,December,7,United States,8028,496,8524,8212,,
2025,12,December,8,France,7259,11,7270,6332,,
2025,12,December,9,Poland,6858,12,6870,6233,,
2025,12,December,10,Italy,6467,15,6482,5695,,
2026,1,January,1,India,52058,3,52061,43375,,
2026,1,January,2,United Kingdom,29258,282,29540,21730,,
2026,1,January,3,Russia,27126,8,27134,34096,,
2026,1,January,4,Germany,17753,23,17776,15050,,
2026,1,January,5,China,14001,2,14003,16709,,
2026,1,January,6,France,13561,8,13569,12619,,
2026,1,January,7,Australia,11122,50,11172,9563,,
2026,1,January,8,Poland,10332,2,10334,7585,,
2026,1,January,9,United States,6906,467,7373,7067,,
2026,1,January,10,Netherlands,7099,8,7107,6484,,
2026,2,February,1,India,47652,27,47679,35728,,
2026,2,February,2,United Kingdom,27550,3238,30788,25528,,
2026,2,February,3,Russia,23047,52,23099,30295,,
2026,2,February,4,Germany,20410,2156,22566,17233,,
2026,2,February,5,China,20131,49,20180,11690,,
2026,2,February,6,France,17148,26,17174,15469,,
2026,2,February,7,Poland,10433,34,10467,8519,,
2026,2,February,8,Australia,8995,1005,10000,8778,,
2026,2,February,9,United States,6874,1354,8228,6439,,
2026,2,February,10,Netherlands,6060,86,6146,5589,,
2026,3,March,1,India,47524,9,47533,39212,,
2026,3,March,2,United Kingdom,17927,165,18092,22447,,
2026,3,March,3,Russia,15675,10,15685,29177,,
2026,3,March,4,China,14058,6,14064,11114,,
2026,3,March,5,Germany,12346,1083,13429,17918,,
2026,3,March,6,Australia,11114,83,11197,9012,,
2026,3,March,7,France,7821,538,8359,15278,,
2026,3,March,8,United States,4396,966,5362,7676,,
2026,3,March,9,Japan,4431,9,4440,3708,,
2026,3,March,10,Bangladesh,4405,0,4405,4713,,
2026,4,April,1,India,41960,685,42645,38744,,
2026,4,April,2,China,10538,6,10544,8667,,
2026,4,April,3,United Kingdom,10118,307,10425,17348,,
2026,4,April,4,Australia,9616,327,9943,10744,,
2026,4,April,5,Russia,6890,8,6898,13525,,
2026,4,April,6,France,5827,17,5844,8276,,
2026,4,April,7,Germany,5052,466,5518,11654,,
2026,4,April,8,United States,2847,1026,3873,4202,,
2026,4,April,9,Bangladesh,3796,1,3797,5428,,
2026,4,April,10,Japan,2777,7,2784,2374,,
2026,5,May,1,India,60337,5,60342,47001,,
2026,5,May,2,United Kingdom,9100,148,9248,9221,,
2026,5,May,3,China,9138,18,9156,8803,,
2026,5,May,4,Germany,4574,2160,6734,7223,,
2026,5,May,5,Australia,6219,195,6414,5929,,
2026,5,May,6,Maldives,4330,0,4330,3006,,
2026,5,May,7,United States,3322,1003,4325,3607,,
2026,5,May,8,France,4275,14,4289,5470,,
2026,5,May,9,Bangladesh,3994,0,3994,7282,,
2026,5,May,10,Russia,3253,4,3257,3328,,
2026,6,June,1,India,42748,675,43423,37934,,
2026,6,June,2,United Kingdom,10468,6,10474,11628,,
2026,6,June,3,Australia,8705,5,8710,7299,,
2026,6,June,4,China,7528,696,8224,8804,,
2026,6,June,5,United States,3796,10,3806,5422,,
2026,6,June,6,France,3755,7,3762,4345,,
2026,6,June,7,Germany,3729,6,3735,5498,,
2026,6,June,8,Bangladesh,3438,0,3438,5826,,
2026,6,June,9,Canada,3385,8,3393,4239,,
2026,6,June,10,Maldives,2561,0,2561,3157,,
2026,7,July,1,India,43896,651,44547,37128,,
2026,7,July,2,United Kingdom,21834,0,21834,23475,,
2026,7,July,3,Netherlands,12489,4,12493,15556,,
2026,7,July,4,China,12336,0,12336,12982,,
2026,7,July,5,France,10085,17,10102,11059,,
2026,7,July,6,Australia,9699,3,9702,9117,,
2026,7,July,7,Germany,8831,7,8838,10568,,
2026,7,July,8,Maldives,5757,0,5757,4755,,
2026,7,July,9,United States,5368,8,5376,5222,,
2026,7,July,10,Canada,4749,4,4753,5462,,
2026,8,August,1,India,44700,2553,47253,46473,,
2026,8,August,2,United Kingdom,19588,0,19588,19764,,
2026,8,August,3,China,12321,0,12321,12294,,
2026,8,August,4,Germany,11401,0,11401,12500,,
2026,8,August,5,France,10885,0,10885,10495,,
2026,8,August,6,Australia,8898,0,8898,7833,,
2026,8,August,7,Italy,8883,0,8883,12247,,
2026,8,August,8,Spain,7431,0,7431,8843,,
2026,8,August,9,Japan,5902,0,5902,5127,,
2026,8,August,10,Canada,4315,0,4315,4333,,
